n,t,i,p,u,v
1,0.0,1,-,-,-
2,0.0,2,-,-,-
3,0.0,3,0.49031781804268615,0.1044221429569835,0.07328799851145962
4,0.0,1,-,-,-
5,0.0,2,-,-,-
6,0.0,3,0.28453529621660134,0.05657020563290593,0.035609737857852354
7,0.0,1,-,-,-
8,0.0,2,-,-,-
9,0.0,3,0.3718859953577535,0.11485670353614418,0.06984825494178572
10,0.1,1,-,-,-
11,0.1,2,-,-,-
12,0.1,3,0.3027146556842207,0.09732839319251939,0.06983985126912527
13,0.1,1,-,-,-
14,0.1,2,-,-,-
15,0.1,3,0.19060145746975676,0.035061494216558346,0.024446214055760862
16,0.1,1,-,-,-
17,0.1,2,-,-,-
18,0.1,3,0.3289557522843494,0.0710602992363824,0.04355840074681933
19,0.2,1,-,-,-
20,0.2,2,-,-,-
21,0.2,3,0.2929833821506844,0.0701053123164694,0.05470774964730948
22,0.2,1,-,-,-
23,0.2,2,-,-,-
24,0.2,3,0.190837858173472,0.028958686177775878,0.024351197039369433
25,0.2,1,-,-,-
26,0.2,2,-,-,-
27,0.2,3,0.3035995703336863,0.06199502777792715,0.048419600729766636
28,0.30000000000000004,1,-,-,-
29,0.30000000000000004,2,-,-,-
30,0.30000000000000004,3,0.2587449506447641,0.056507495141234806,0.05891465333844958
31,0.30000000000000004,1,-,-,-
32,0.30000000000000004,2,-,-,-
33,0.30000000000000004,3,0.15297707047233644,0.025813419312155157,0.020503529865090683
34,0.30000000000000004,1,-,-,-
35,0.30000000000000004,2,-,-,-
36,0.30000000000000004,3,0.2541348993099241,0.050677108742156286,0.043323365383918525
37,0.4,1,-,-,-
38,0.4,2,-,-,-
39,0.4,3,0.20399707206125972,0.05303013014398861,0.04999956699199571
40,0.4,1,-,-,-
41,0.4,2,-,-,-
42,0.4,3,0.1347211110303846,0.023547809804965923,0.018828716338397628
43,0.4,1,-,-,-
44,0.4,2,-,-,-
45,0.4,3,0.2162960783960918,0.047409068133661234,0.03966908356644459
46,0.5,1,-,-,-
47,0.5,2,-,-,-
48,0.5,3,0.15780112785695097,0.04275648219790606,0.047031126033580666
49,0.5,1,-,-,-
50,0.5,2,-,-,-
51,0.5,3,0.10839364368617367,0.018180203414352142,0.016063923782092274
52,0.5,1,-,-,-
53,0.5,2,-,-,-
54,0.5,3,0.1776549905788405,0.037259710495106145,0.03589388704837211
55,0.6,1,-,-,-
56,0.6,2,-,-,-
57,0.6,3,0.12006846395292499,0.035127692248837154,0.037457735901589476
58,0.6,1,-,-,-
59,0.6,2,-,-,-
60,0.6,3,0.09042782006771802,0.014893418945147958,0.014834832656310571
61,0.6,1,-,-,-
62,0.6,2,-,-,-
63,0.6,3,0.14750143055359333,0.030525844035159615,0.03063673086473013
64,0.7,1,-,-,-
65,0.7,2,-,-,-
66,0.7,3,0.10824971355196275,0.026572159263725532,0.03450993880131108
67,0.7,1,-,-,-
68,0.7,2,-,-,-
69,0.7,3,0.07395035850848314,0.01274618214688572,0.012115360424342239
70,0.7,1,-,-,-
71,0.7,2,-,-,-
72,0.7,3,0.11721809232341786,0.024447914980697566,0.024935726171560334
73,0.7999999999999999,1,-,-,-
74,0.7999999999999999,2,-,-,-
75,0.7999999999999999,3,0.08376044377772517,0.022296762711482936,0.02200713651286197
76,0.7999999999999999,1,-,-,-
77,0.7999999999999999,2,-,-,-
78,0.7999999999999999,3,0.06272676831635152,0.009839951399289268,0.01018584342649378
79,0.7999999999999999,1,-,-,-
80,0.7999999999999999,2,-,-,-
81,0.7999999999999999,3,0.09885374153574443,0.018107528745780022,0.020117839387313482
82,0.8999999999999999,1,-,-,-
83,0.8999999999999999,2,-,-,-
84,0.8999999999999999,3,0.07303995360428439,0.014444960747504405,0.017707159630613672
85,0.8999999999999999,1,-,-,-
86,0.8999999999999999,2,-,-,-
87,0.8999999999999999,3,0.048242413365227395,0.00703746709038724,0.008023975658845092
88,0.8999999999999999,1,-,-,-
89,0.8999999999999999,2,-,-,-
90,0.8999999999999999,3,0.07669583100488367,0.012932658684582087,0.0157599445718931
91,0.9999999999999999,1,-,-,-
92,0.9999999999999999,2,-,-,-
93,0.9999999999999999,3,0.05321388763087593,0.00952660058267247,0.010000223843169486
94,0.9999999999999999,1,-,-,-
95,0.9999999999999999,2,-,-,-
96,0.9999999999999999,3,0.04000647185868003,0.005725834423723752,0.006118118529086633
97,0.9999999999999999,1,-,-,-
98,0.9999999999999999,2,-,-,-
99,0.9999999999999999,3,0.06398195326388931,0.010685472642726854,0.012548230558448349
100,1.0999999999999999,1,-,-,-
101,1.0999999999999999,2,-,-,-
102,1.0999999999999999,3,0.04619516619214666,0.007052776101984313,0.007903973255418376
103,1.0999999999999999,1,-,-,-
104,1.0999999999999999,2,-,-,-
105,1.0999999999999999,3,0.03358352315687018,0.003989133498668768,0.00480709743468525
106,1.0999999999999999,1,-,-,-
107,1.0999999999999999,2,-,-,-
108,1.0999999999999999,3,0.051486101641838165,0.007620945440550814,0.009639657444048879
109,1.2,1,-,-,-
110,1.2,2,-,-,-
111,1.2,3,0.03670998356833623,0.004554310491051947,0.004863736794708427
112,1.2,1,-,-,-
113,1.2,2,-,-,-
114,1.2,3,0.02983074651631647,0.003108791743981286,0.003403922180378916
115,1.2,1,-,-,-
116,1.2,2,-,-,-
117,1.2,3,0.04339694456304124,0.006031962536560555,0.007310459705734848
118,1.3,1,-,-,-
119,1.3,2,-,-,-
120,1.3,3,0.03387964977096167,0.0032635638937008756,0.0039315168536834515
121,1.3,1,-,-,-
122,1.3,2,-,-,-
123,1.3,3,0.0285545481768709,0.0022015650088296488,0.0025224006216000875
124,1.3,1,-,-,-
125,1.3,2,-,-,-
126,1.3,3,0.037481482925668615,0.004291489420175093,0.005218084292836711
127,1.4000000000000001,1,-,-,-
128,1.4000000000000001,2,-,-,-
129,1.4000000000000001,3,0.029723812718892732,0.002232783859320093,0.0025782746842745183
130,1.4000000000000001,1,-,-,-
131,1.4000000000000001,2,-,-,-
132,1.4000000000000001,3,0.02572755191463558,0.0017619365378760514,0.0016199742344284453
133,1.4000000000000001,1,-,-,-
134,1.4000000000000001,2,-,-,-
135,1.4000000000000001,3,0.03099996331292069,0.003299887970378358,0.0034796216444123356
136,1.5000000000000002,1,-,-,-
137,1.5000000000000002,2,-,-,-
138,1.5000000000000002,3,0.024921351686161615,0.001658223332278337,0.0018261940083481969
139,1.5000000000000002,1,-,-,-
140,1.5000000000000002,2,-,-,-
141,1.5000000000000002,3,0.021589135089521556,0.0012334365159544756,0.0011350511559079484
142,1.5000000000000002,1,-,-,-
143,1.5000000000000002,2,-,-,-
144,1.5000000000000002,3,0.024819425131381467,0.002199998870567659,0.0022999694906688448
145,1.6000000000000003,1,-,-,-
146,1.6000000000000003,2,-,-,-
147,1.6000000000000003,3,0.02030781131702707,0.0012361905920142372,0.0011451100791011822
148,1.6000000000000003,1,-,-,-
149,1.6000000000000003,2,-,-,-
150,1.6000000000000003,3,0.017892923237566714,0.0009828418421613152,0.0006130614560337406
151,1.6000000000000003,1,-,-,-
152,1.6000000000000003,2,-,-,-
153,1.6000000000000003,3,0.020280795571884336,0.0015995889085163525,0.0012851790541206821
154,1.7000000000000004,1,-,-,-
155,1.7000000000000004,2,-,-,-
156,1.7000000000000004,3,0.01770249543435527,0.000934137433411614,0.0007867971748665344
157,1.7000000000000004,1,-,-,-
158,1.7000000000000004,2,-,-,-
159,1.7000000000000004,3,0.016097817101991645,0.000759172231310965,0.00044309034445774666
160,1.7000000000000004,1,-,-,-
161,1.7000000000000004,2,-,-,-
162,1.7000000000000004,3,0.018091181270784688,0.0010882170040538786,0.0007593906153654664
163,1.8000000000000005,1,-,-,-
164,1.8000000000000005,2,-,-,-
165,1.8000000000000005,3,0.016836187452287807,0.0008347950718802947,0.00046152669813687397
166,1.8000000000000005,1,-,-,-
167,1.8000000000000005,2,-,-,-
168,1.8000000000000005,3,0.015596922188809386,0.0007110403690078996,0.00031224056824509283
169,1.8000000000000005,1,-,-,-
170,1.8000000000000005,2,-,-,-
171,1.8000000000000005,3,0.017354340694204613,0.0009053983709507549,0.00045635539127987333
172,1.9000000000000006,1,-,-,-
173,1.9000000000000006,2,-,-,-
174,1.9000000000000006,3,0.016055546805385148,0.0007183052728135103,0.0003497244885977117
175,1.9000000000000006,1,-,-,-
176,1.9000000000000006,2,-,-,-
177,1.9000000000000006,3,0.014774066967214457,0.0006179472036617848,0.0002626925279185158
178,1.9000000000000006,1,-,-,-
179,1.9000000000000006,2,-,-,-
180,1.9000000000000006,3,0.016083331316052673,0.0007200083086729951,0.0003244648187780739
181,2.0000000000000004,1,-,-,-
182,2.0000000000000004,2,-,-,-
183,2.0000000000000004,3,0.014712659916180721,0.000647548130393131,0.00025768491734647346
184,2.0000000000000004,1,-,-,-
185,2.0000000000000004,2,-,-,-
186,2.0000000000000004,3,0.013364799353196897,0.000566781879527156,0.00021609735732523616
187,2.0000000000000004,1,-,-,-
188,2.0000000000000004,2,-,-,-
189,2.0000000000000004,3,0.014430936124174091,0.0006584179887344694,0.00024711697761345685
190,2.1000000000000005,1,-,-,-
191,2.1000000000000005,2,-,-,-
192,2.1000000000000005,3,0.013069396497056802,0.0005845722975045048,0.0002218471256726023
193,2.1000000000000005,1,-,-,-
194,2.1000000000000005,2,-,-,-
195,2.1000000000000005,3,0.011944144832087531,0.0005157204873648186,0.00018685605520500759
196,2.1000000000000005,1,-,-,-
197,2.1000000000000005,2,-,-,-
198,2.1000000000000005,3,0.013063004618525201,0.000591188099090621,0.0002178736354629974
199,2.2000000000000006,1,-,-,-
200,2.2000000000000006,2,-,-,-
201,2.2000000000000006,3,0.012246861153271893,0.0005553557871740922,0.00019247460681218407
202,2.2000000000000006,1,-,-,-
203,2.2000000000000006,2,-,-,-
204,2.2000000000000006,3,0.011487866377930657,0.0004808103906474021,0.00017411037403112676
205,2.2000000000000006,1,-,-,-
206,2.2000000000000006,2,-,-,-
207,2.2000000000000006,3,0.012850783766120213,0.0005589687061077719,0.00019853740052495512
208,2.3000000000000007,1,-,-,-
209,2.3000000000000007,2,-,-,-
210,2.3000000000000007,3,0.012372238811261592,0.0005195787287398429,0.00018397795716113688
211,2.3000000000000007,1,-,-,-
212,2.3000000000000007,2,-,-,-
213,2.3000000000000007,3,0.011780643495829022,0.0004696211128558132,0.00016561867732200642
214,2.3000000000000007,1,-,-,-
215,2.3000000000000007,2,-,-,-
216,2.3000000000000007,3,0.01316991384438242,0.0005407859053524783,0.00018602628188514402
217,2.400000000000001,1,-,-,-
218,2.400000000000001,2,-,-,-
219,2.400000000000001,3,0.012729540849429044,0.000540368344188583,0.00017303032751118095
220,2.400000000000001,1,-,-,-
221,2.400000000000001,2,-,-,-
222,2.400000000000001,3,0.012055785416150705,0.00046853636100394633,0.00016109748691406283
223,2.400000000000001,1,-,-,-
224,2.400000000000001,2,-,-,-
225,2.400000000000001,3,0.013315306378161654,0.0005334707456043671,0.00017983782182780619
226,2.500000000000001,1,-,-,-
227,2.500000000000001,2,-,-,-
228,2.500000000000001,3,0.012469912151757924,0.0005062642573864204,0.00016885092579764318
229,2.500000000000001,1,-,-,-
230,2.500000000000001,2,-,-,-
231,2.500000000000001,3,0.011457351695626339,0.0004460119571505188,0.00014951246036043627
232,2.500000000000001,1,-,-,-
233,2.500000000000001,2,-,-,-
234,2.500000000000001,3,0.012422515922808623,0.000498953503390137,0.00016666624857771355
235,2.600000000000001,1,-,-,-
236,2.600000000000001,2,-,-,-
237,2.600000000000001,3,0.011270020540536543,0.0004646863619496622,0.00014786711622619982
238,2.600000000000001,1,-,-,-
239,2.600000000000001,2,-,-,-
240,2.600000000000001,3,0.010340734526300027,0.00041624134253018046,0.0001326208123995244
241,2.600000000000001,1,-,-,-
242,2.600000000000001,2,-,-,-
243,2.600000000000001,3,0.011327547802568002,0.0004690710377141332,0.00014877987548035838
244,2.700000000000001,1,-,-,-
245,2.700000000000001,2,-,-,-
246,2.700000000000001,3,0.0108364347807544,0.00045008539985470227,0.00014428724861063959
247,2.700000000000001,1,-,-,-
248,2.700000000000001,2,-,-,-
249,2.700000000000001,3,0.01040243522616003,0.0004137765957361695,0.00013654658815666956
250,2.700000000000001,1,-,-,-
251,2.700000000000001,2,-,-,-
252,2.700000000000001,3,0.011765967339611102,0.0004807992307370294,0.00015960100345076714
253,2.800000000000001,1,-,-,-
254,2.800000000000001,2,-,-,-
255,2.800000000000001,3,0.011572009278022957,0.00045036936170583087,0.0001560627655704759
256,2.800000000000001,1,-,-,-
257,2.800000000000001,2,-,-,-
